"ISSN","TITULO","ESTRATO","ISSN_temp","Print_ISSN","E_ISSN"
"2281-3993","ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES","B4","22813993","22813993","22814612"
"2079-3456","ACADEMIC JOURNAL OF SURINAME","B4","20793456",NA,NA
"1040-2446","ACADEMIC MEDICINE","A1","10402446","10402446","1938808X"
"1876-2859","ACADEMIC PEDIATRICS (PRINT)","A2","18762859","18762859","18762867"
"1042-9670","ACADEMIC PSYCHIATRY","A2","10429670","10429670","15457230"
"1076-6332","ACADEMIC RADIOLOGY","A3","10766332","10766332","18784046"
"2318-1494","ACADÊMICO MUNDO","B3","23181494",NA,NA
"1631-0691","ACADEMIE DES SCIENCES. COMPTES RENDUS. BIOLOGIES","A2","16310691","16310691","17683238"
"1806-9495","ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE","B4","18069495",NA,NA
"1528-2686","ACADEMY OF ENTREPRENEURSHIP JOURNAL","A4","15282686","10879595","15282686"
"2151-6561","ACADEMY OF MANAGEMENT ANNUAL MEETING PROCEEDINGS","B4","21516561",NA,NA
"1095-6298","ACADEMY OF MARKETING STUDIES JOURNAL","A4","10956298",NA,NA
"1939-6104","ACADEMY OF STRATEGIC MANAGEMENT JOURNAL","B1","19396104","15441458","19396104"
"2358-6559","ACANTO EM REVISTA","B4","23586559",NA,NA
"2238-0701","AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA","B2","22380701",NA,NA
"0132-8077","ACARINA: RUSSIAN JOURNAL OF ACAROLOGY","B1","1328077","1328077","22215115"
"0044-586X","ACAROLOGIA (LA VARENNE-SUR-SEINE)","B1","44586X",NA,NA
"0001-4575","ACCIDENT ANALYSIS AND PREVENTION","A1","14575","14575","18792057"
"0810-5391","ACCOUNTING AND FINANCE (PARKVILLE. PRINT)","A2","8105391","8105391","1467629X"
"0963-9284","ACCOUNTING EDUCATION: AN INTERNATIONAL JOURNAL","A2","9639284","9639284","14684489"
"0155-9982","ACCOUNTING FORUM (ADELAIDE. PRINT)","A2","1559982","1559982","14676303"
"0951-3574","ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL","A1","9513574","9513574",NA
"0001-4842","ACCOUNTS OF CHEMICAL RESEARCH","A1","14842","14842","15204898"
"0949-1775","ACCREDITATION AND QUALITY ASSURANCE","B2","9491775","9491775","14320517"
"2358-5587","ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE","A3","23585587",NA,NA
"2237-8723","ACERVO: REVISTA DO ARQUIVO NACIONAL","A3","22378723",NA,NA
"2319-0698","ACESSO LIVRE","B1","23190698",NA,NA
"2326-3253","ACG CASE REPORTS JOURNAL","B1","23263253",NA,"23263253"
"0329-9147","ACHERONTA (EN LÍNEA)","B4","3299147",NA,NA
"2318-5724","ACHIOTE.COM ¿ REVISTA ELETRÔNICA DE MODA","B3","23185724",NA,NA
"0889-325X","ACI MATERIALS JOURNAL","A2","889325X",NA,NA
"0889-3241","ACI STRUCTURAL JOURNAL","A3","8893241","8893241",NA
"0360-0300","ACM COMPUTING SURVEYS","A1","3600300","3600300","15577341"
"2153-2184","ACM INROADS","B2","21532184","21532184","21532192"
"1550-4832","ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS","A3","15504832","15504832","15504840"
"1936-7228","ACM TRANSACTIONS ON ACCESSIBLE COMPUTING (TACCESS)","A3","19367228","19367228",NA
"1544-3566","ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION","A3","15443566","15443566","15443973"
"1556-4665","ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS","A2","15564665","15564665","15564703"
"0734-2071","ACM TRANSACTIONS ON COMPUTER SYSTEMS","A1","7342071","7342071","15577333"
"1946-6226","ACM TRANSACTIONS ON COMPUTING EDUCATION","A1","19466226",NA,"19466226"
"1084-4309","ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS","A4","10844309","10844309","15577309"
"1539-9087","ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS","A4","15399087","15399087","15583465"
"0730-0301","ACM TRANSACTIONS ON GRAPHICS","A1","7300301","7300301","15577368"
"1046-8188","ACM TRANSACTIONS ON INFORMATION SYSTEMS","A1","10468188","10468188","15582868"
"1533-5399","ACM TRANSACTIONS ON INTERNET TECHNOLOGY","A2","15335399","15335399","15576051"
"1556-4681","ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA","A1","15564681","15564681",NA
"2376-3639","ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS","B3","23763639","23763639","23763647"
"1551-6857","ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS","A2","15516857","15516857","15516865"
"2471-2566","ACM TRANSACTIONS ON PRIVACY AND SECURITY","B4","24712566","24712566","24712574"
"1049-331X","ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY","A2","1049331X","1049331X","15577392"
"1559-1131","ACM TRANSACTIONS ON THE WEB","A2","15591131","15591131",NA
"2576-6422","ACS APPLIED BIO MATERIALS","B3","25766422",NA,"25766422"
"2574-0962","ACS APPLIED ENERGY MATERIALS","B4","25740962",NA,"25740962"
"1944-8252","ACS APPLIED MATERIALS & INTERFACES (ONLINE)","A1","19448252","19448244","19448252"
"4283-4293","ACS APPLIED NANO MATERIALS","B4","42834293",NA,NA
"2373-9878","ACS BIOMATERIALS SCIENCE & ENGINNERING","A2","23739878",NA,"23739878"
"2155-5435","ACS CATALYSIS","A1","21555435",NA,"21555435"
"2374-7951","ACS CENTRAL SCIENCE (ONLINE)","A1","23747951","23747943","23747951"
"1554-8929","ACS CHEMICAL BIOLOGY","A1","15548929","15548929","15548937"
"1554-8937","ACS CHEMICAL BIOLOGY","A1","15548937","15548929","15548937"
"1948-7193","ACS CHEMICAL NEUROSCIENCE","A1","19487193",NA,"19487193"
"2156-8952","ACS COMBINATORIAL SCIENCE","A2","21568952","21568952","21568944"
"2472-3452","ACS EARTH AND SPACE CHEMISTRY","B4","24723452",NA,"24723452"
"2373-8227","ACS INFECTIOUS DISEASES","A1","23738227",NA,"23738227"
"2161-1653","ACS MACRO LETTERS","A1","21611653",NA,"21611653"
"1948-5875","ACS MED CHEM LETT","A2","19485875",NA,"19485875"
"1936-0851","ACS NANO","A1","19360851","19360851","1936086X"
"2470-1343","ACS OMEGA","A3","24701343",NA,"24701343"
"2330-4022","ACS PHOTONICS","A2","23304022",NA,"23304022"
"2379-3694","ACS SENSORS","A1","23793694",NA,"23793694"
"2168-0485","ACS SUSTAINABLE CHEMISTRY & ENGINEERING","A1","21680485",NA,"21680485"
"2161-5063","ACS SYNTHETIC BIOLOGY","A1","21615063",NA,"21615063"
"0906-4710","ACTA AGRICULTURAE SCANDINAVICA. SECTION B, SOIL AND PLANT SCIENCE","A4","9064710","9064710","16511913"
"0120-2812","ACTA AGRONOMICA","B4","1202812",NA,NA
"1809-4392","ACTA AMAZONICA","B1","18094392",NA,NA
"1677-7298","ACTA AMBIENTAL CATARINENSE","B1","16777298",NA,NA
"0001-5172","ACTA ANAESTHESIOLOGICA SCANDINAVICA","A3","15172","15172","13996576"
"0353-5150","ACTA ANALYTICA","A4","3535150","3535150","18746349"
"1234-950X","ACTA ANGIOLOGICA","B4","1234950X","1234950X","16443276"
"2358-2375","ACTA APICOLA BRASILICA","B3","23582375",NA,NA
"0167-8019","ACTA APPLICANDAE MATHEMATICAE","B1","1678019","1678019","15729036"
"0001-5202","ACTA ARACHNOLOGICA","B4","15202","15202",NA
